species,chr,length
Latrodectus_elegans,8,103784820
Latrodectus_elegans,3,106775008
Latrodectus_elegans,14,111544711
Latrodectus_elegans,9,114313277
Latrodectus_elegans,1,119656895
Latrodectus_elegans,11,120392845
Latrodectus_elegans,2,124379975
Latrodectus_elegans,12,131035894
Latrodectus_elegans,5,132398706
Latrodectus_elegans,6,133922626
Meta_bourneti,11,89974480
Meta_bourneti,10,92215385
Meta_bourneti,9,96518543
Meta_bourneti,8,99469579
Meta_bourneti,7,100556285
Meta_bourneti,x2,103994212
Meta_bourneti,6,104066336
Meta_bourneti,5,104822047
Meta_bourneti,x1,108227119
Meta_bourneti,4,110915434
Meta_bourneti,3,114770648
Meta_bourneti,2,118356889
Meta_bourneti,1,119993891
Nephilingis_cruentata,13,113589448
Nephilingis_cruentata,12,113931073
Nephilingis_cruentata,11,123255941
Nephilingis_cruentata,10,124186034
Nephilingis_cruentata,9,128190292
Nephilingis_cruentata,8,128342415
Nephilingis_cruentata,7,131591024
Nephilingis_cruentata,6,137962949
Nephilingis_cruentata,5,138595503
Nephilingis_cruentata,4,139941962
Nephilingis_cruentata,3,140031403
Nephilingis_cruentata,2,141386430
Nephilingis_cruentata,1,145648103
Oedothorax_gibbosus,x1,10063192
Oedothorax_gibbosus,x2,15170332
Oedothorax_gibbosus,6,31634105
Oedothorax_gibbosus,9,36591209
Oedothorax_gibbosus,5,38543489
Oedothorax_gibbosus,7,40935404
Oedothorax_gibbosus,8,42143304
Oedothorax_gibbosus,10,43590165
Oedothorax_gibbosus,3,44831212
Oedothorax_gibbosus,11,45659719
Oedothorax_gibbosus,2,47812568
Oedothorax_gibbosus,1,49491545
Oedothorax_gibbosus,4,50093453
Parasteatoda_lunata,x2,75075521
Parasteatoda_lunata,x1,104696160
Parasteatoda_lunata,10,105886991
Parasteatoda_lunata,9,109190128
Parasteatoda_lunata,8,111550361
Parasteatoda_lunata,7,113502024
Parasteatoda_lunata,6,114314067
Parasteatoda_lunata,5,117943868
Parasteatoda_lunata,4,121474316
Parasteatoda_lunata,3,122062578
Parasteatoda_lunata,2,131089450
Parasteatoda_lunata,1,134647540
Pardosa_pseudoannulata,3,96963700
Pardosa_pseudoannulata,11,106294315
Pardosa_pseudoannulata,1,107539213
Pardosa_pseudoannulata,13,124598772
Pardosa_pseudoannulata,4,126955200
Pardosa_pseudoannulata,7,129850400
Pardosa_pseudoannulata,15,151860623
Pardosa_pseudoannulata,6,162862300
Pardosa_pseudoannulata,10,169990772
Pardosa_pseudoannulata,14,178640034
Pardosa_pseudoannulata,5,185657100
Pardosa_pseudoannulata,12,190200072
Pardosa_pseudoannulata,8,190585740
Pardosa_pseudoannulata,9,201653302
Pardosa_pseudoannulata,2,213218100
Tetragnatha_montana,11,52547139
Tetragnatha_montana,10,54634059
Tetragnatha_montana,x1,54904069
Tetragnatha_montana,9,59938646
Tetragnatha_montana,8,60210642
Tetragnatha_montana,7,60368038
Tetragnatha_montana,6,61119082
Tetragnatha_montana,x2,61269429
Tetragnatha_montana,5,61611152
Tetragnatha_montana,4,61761198
Tetragnatha_montana,3,62492856
Tetragnatha_montana,2,63808458
Tetragnatha_montana,1,64617543
Trichonephila_antipodiana,13,113320019
Trichonephila_antipodiana,12,137663548
Trichonephila_antipodiana,11,144716375
Trichonephila_antipodiana,10,157335486
Trichonephila_antipodiana,9,164058711
Trichonephila_antipodiana,8,172697768
Trichonephila_antipodiana,7,172858515
Trichonephila_antipodiana,6,172892172
Trichonephila_antipodiana,5,181977593
Trichonephila_antipodiana,4,197924626
Trichonephila_antipodiana,3,205138516
Trichonephila_antipodiana,2,209735588
Trichonephila_antipodiana,1,230274878
Uloborus_diversus,10,139172590
Uloborus_diversus,9,159483530
Uloborus_diversus,8,161310338
Uloborus_diversus,7,172099698
Uloborus_diversus,6,172884048
Uloborus_diversus,5,185519777
Uloborus_diversus,4,195363447
Uloborus_diversus,3,218885758
Uloborus_diversus,2,221850441
Uloborus_diversus,1,272330431
