Tetragnatha_montana-Meta_bourneti-percCountMax	0.9237596	0.9534884	0.9091972	0.9091972	0.9083419	0.8329966	0.5877193	0.9338118	0.9303769	0.9426230	0.9183374	0.9183374	0.6144252	0.9422434	0.9007353	1.0000000	1.0000000	1.0000000
Nephilingis_cruentata	6	1	3	3	13	12	7	4	5	9	11	11	7	10	8	NA	NA	NA
Tetragnatha_montana-Nephilingis_cruentata-percCountMax	0.9136156	0.9505069	0.9188679	0.9188679	0.9089166	0.7987220	0.4670999	0.9341935	0.9238477	0.9372964	0.9318182	0.9318182	0.4974048	0.9333333	0.9036483	NA	NA	NA
Oedothorax_gibbosus	1	11	10	10	5	6	x1	3	4	9	2	2	x2	8	7	NA	NA	NA
Tetragnatha_montana-Oedothorax_gibbosus-percCountMax	0.9134438	0.9070480	0.8830275	0.8830275	0.9088235	0.7308970	0.2934272	0.9010025	0.9317406	0.9284627	0.9244332	0.9244332	0.4504792	0.9130435	0.8721591	NA	NA	NA
Parasteatoda_lunata	4	2	3	3	9	1	x2	5	6	1	8	8	x1	7	10	mt	mt	mt
Tetragnatha_montana-Parasteatoda_lunata-percCountMax	0.8371122	0.8850872	0.8077403	0.8077403	0.8302980	0.6752504	0.4405427	0.7644812	0.8314774	0.7424634	0.8358209	0.8358209	0.5334008	0.8103448	0.8242991	1.0000000	1.0000000	1.0000000
Pardosa_pseudoannulata	10	14	12	12	1	2	6	9	5	13	3	3	6	15	2	NA	NA	NA
Tetragnatha_montana-Pardosa_pseudoannulata-percCountMax	0.4069307	0.4791444	0.4284351	0.4284351	0.4291667	0.4798206	0.4881517	0.4496718	0.5041420	0.5347395	0.4316186	0.4316186	0.4682540	0.5311778	0.3900000	NA	NA	NA
Trichonephila_antipodiana	11	2	6	6	9	3	13	1	4	5	7	7	12	8	10	10	10	10
Tetragnatha_montana-Trichonephila_antipodiana-percCountMax	0.4985320	0.8060319	0.5625767	0.5625767	0.5521415	0.4703892	0.2867830	0.7820352	0.7322404	0.5775862	0.6381950	0.6381950	0.3252904	0.6509434	0.6710900	1.0000000	1.0000000	1.0000000
Uloborus_diversus	1	4	1	1	8	5	3	6	1	6	4	4	3	5	9	NA	NA	NA
Tetragnatha_montana-Uloborus_diversus-percCountMax	0.3113057	0.4962280	0.6444264	0.6444264	0.4266055	0.5785288	0.4597586	0.4297674	0.4679752	0.4364995	0.5402299	0.5402299	0.5430933	0.8315271	0.4160090	NA	NA	NA
