chrom	length	bases	mean	min	max
Contig155	5156	2545871	493.77	0	2550
Contig156	4991	13070	2.62	0	21
Contig157	4726	353585	74.82	1	202
Contig158	4615	1836821	398.01	0	1511
Contig159	4598	579415	126.01	0	530
Contig160	3926	158835	40.46	0	196
Contig161	3793	87760	23.14	0	44
Contig162	3720	1390101	373.68	1	1119
Contig163	3441	57074	16.59	0	55
Contig164	3436	569923	165.87	0	799
Contig165	3429	693218	202.16	0	413
Contig166	3379	1657946	490.66	2	1464
Contig167	2968	767159	258.48	0	1179
Contig168	2905	142259	48.97	0	145
Contig169	2859	13619	4.76	0	55
Contig170	2770	2259337	815.65	7	3141
Contig171	2732	582779	213.32	0	459
Contig172	2372	1092	0.46	0	4
Contig173	2356	60514	25.69	0	62
Contig174	2202	33563	15.24	0	53
Contig175	1776	786647	442.93	1	1355
Contig176	1642	64931	39.54	0	70
Contig178	1111	17235	15.51	0	27
Contig179	1030	218050	211.70	0	537
Contig181	1000	43418	43.42	3	83
total	1716025378	15323406368	8.93	0	25489
