chrom	length	bases	mean	min	max
Contig97	24768	5483286	221.39	0	1021
Contig98	24699	79082	3.20	0	14
Contig99	24591	513710	20.89	0	57
Contig100	22915	39972	1.74	0	12
Contig101	22863	15339094	670.91	0	2947
Contig102	22697	1022212	45.04	0	286
Contig103	22371	1642011	73.40	0	656
Contig104	22046	333249	15.12	0	67
Contig105	21134	9137751	432.37	1	2554
Contig106	20804	7421831	356.75	0	2932
Contig107	19337	5006435	258.90	0	588
Contig108	18973	44632	2.35	0	37
Contig109	18357	235593	12.83	0	43
Contig110	17537	1502658	85.69	0	477
Contig111	17350	9770950	563.17	1	17713
Contig112	16706	7166367	428.97	0	3950
Contig113	16668	3430760	205.83	0	388
Contig114	16655	3012140	180.85	0	568
Contig115	16644	5451934	327.56	0	867
Contig116	16067	2155147	134.13	0	1305
Contig117	15129	2575641	170.25	0	833
Contig118	14319	5603177	391.31	1	6180
Contig119	14225	88736	6.24	0	36
Contig120	13711	6355458	463.53	0	1529
Contig121	13447	60557	4.50	0	16
Contig122	13333	56375	4.23	0	30
Contig123	13296	3705745	278.71	1	889
Contig124	12896	5292787	410.42	0	1862
Contig125	12301	3755927	305.34	0	1961
Contig126	12285	3329286	271.00	0	704
Contig127	12038	673291	55.93	0	300
Contig128	11836	61820	5.22	0	23
Contig129	11606	2367808	204.02	1	1062
Contig130	11535	313957	27.22	0	71
Contig131	11355	2716081	239.20	0	841
Contig132	11217	4090940	364.71	0	1411
Contig133	10757	2771209	257.62	0	3321
Contig134	10675	34761	3.26	0	16
Contig135	10639	19035	1.79	0	8
Contig136	9770	19518	2.00	0	15
Contig137	9436	3118349	330.47	0	1607
Contig138	9400	1168959	124.36	0	673
Contig139	9286	1499280	161.46	0	472
Contig140	9145	2213823	242.08	0	1409
Contig141	8182	36462	4.46	0	25
Contig142	8104	63673	7.86	0	28
Contig143	7930	2289322	288.69	0	798
Contig144	7885	3345108	424.24	0	3452
Contig145	7286	1870132	256.67	0	502
Contig146	7149	4287917	599.79	0	5690
Contig147	6653	1629189	244.88	0	764
Contig148	5710	2856890	500.33	0	2643
Contig149	5587	14742	2.64	0	13
Contig150	5543	5382	0.97	0	4
Contig151	5291	637713	120.53	0	505
Contig152	5228	1783547	341.15	0	819
Contig153	5200	460709	88.60	0	249
Contig154	5183	1776254	342.71	3	1409
Contig155	5156	682417	132.35	0	451
Contig156	4991	19315	3.87	0	12
Contig157	4726	276406	58.49	0	149
Contig158	4615	1319864	285.99	0	1070
Contig159	4598	3226	0.70	0	3
Contig160	3926	51787	13.19	0	43
Contig161	3793	67750	17.86	0	42
Contig162	3720	1012524	272.18	0	985
Contig163	3441	47582	13.83	0	39
Contig164	3436	408128	118.78	0	513
Contig165	3429	595664	173.71	0	385
Contig166	3379	1023866	303.01	1	749
Contig167	2968	1098869	370.24	0	2534
Contig168	2905	159525	54.91	0	141
Contig169	2859	10673	3.73	0	23
Contig170	2770	1849869	667.82	3	3104
Contig171	2732	376979	137.99	0	274
Contig172	2372	2100	0.89	0	5
Contig173	2356	37971	16.12	0	45
Contig174	2202	32942	14.96	0	49
Contig175	1776	565571	318.45	3	729
Contig176	1642	51349	31.27	0	55
Contig177	1575	32	0.02	0	1
Contig178	1111	11626	10.46	0	20
Contig179	1030	143199	139.03	0	334
Contig181	1000	49720	49.72	1	103
total	1716026953	15133398060	8.82	0	25847
