chrom	length	bases	mean	min	max
Contig41	52538	786905	14.98	0	108
Contig42	52225	635081	12.16	0	58
Contig43	51935	1493969	28.77	0	166
Contig44	51768	2500634	48.30	0	147
Contig45	51490	685076	13.31	0	61
Contig46	51380	1379412	26.85	0	74
Contig47	49726	256637	5.16	0	44
Contig48	47034	4081412	86.78	0	722
Contig49	46659	887878	19.03	0	87
Contig50	44853	506410	11.29	0	46
Contig51	44290	209197	4.72	0	37
Contig52	44013	529165	12.02	0	137
Contig53	42418	262193	6.18	0	39
Contig54	41552	1295534	31.18	0	184
Contig55	41080	191644	4.67	0	38
Contig56	40328	604131	14.98	0	96
Contig57	39615	484855	12.24	0	49
Contig58	39487	460449	11.66	0	95
Contig59	39137	26839	0.69	0	11
Contig60	38884	169307	4.35	0	35
Contig61	37723	173770	4.61	0	39
Contig62	37648	472944	12.56	0	65
Contig63	37400	2577915	68.93	0	329
Contig64	37388	287604	7.69	0	84
Contig65	37121	429431	11.57	0	54
Contig66	36478	7600	0.21	0	4
Contig67	36157	445352	12.32	0	33
Contig68	35214	2976590	84.53	0	646
Contig69	35099	1012735	28.85	0	122
Contig70	34465	429456	12.46	0	528
Contig71	33919	434533	12.81	0	45
Contig72	33800	577292	17.08	0	54
Contig73	33724	178907	5.31	0	40
Contig74	32706	357217	10.92	0	80
Contig75	31823	322368	10.13	0	37
Contig76	31655	21546	0.68	0	9
Contig77	31276	406870	13.01	0	57
Contig78	31158	329335	10.57	0	54
Contig79	30674	5157	0.17	0	3
Contig80	29757	822948	27.66	0	159
Contig81	29483	2490294	84.47	0	679
Contig82	29460	234572	7.96	0	64
Contig83	29339	149248	5.09	0	43
Contig84	28856	286918	9.94	0	80
Contig85	28693	364661	12.71	0	69
Contig86	28361	159229	5.61	0	28
Contig87	28171	189720	6.73	0	88
Contig88	28126	5263920	187.15	0	1002
Contig89	27995	146161	5.22	0	51
Contig90	27806	439422	15.80	0	65
Contig91	27729	263802	9.51	0	24
Contig92	27295	1084358	39.73	0	155
Contig93	26816	19699	0.73	0	11
Contig94	26673	3386938	126.98	0	898
Contig95	26456	208992	7.90	0	140
Contig96	26378	2391885	90.68	0	655
Contig97	24768	2173056	87.74	0	353
Contig98	24699	387998	15.71	0	95
Contig99	24591	256035	10.41	0	61
Contig100	22915	164327	7.17	0	84
Contig101	22863	6122016	267.77	0	1057
Contig102	22697	5413	0.24	0	5
Contig103	22371	1219646	54.52	0	406
Contig104	22046	790039	35.84	0	445
Contig105	21134	3147420	148.93	0	877
Contig106	20804	3796952	182.51	0	1036
Contig107	19337	3770217	194.97	0	466
Contig108	18973	99485	5.24	0	40
Contig109	18357	438383	23.88	0	81
Contig110	17537	810648	46.23	0	195
Contig111	17350	9399799	541.78	0	12204
Contig112	16706	3389820	202.91	0	1413
Contig113	16668	5863974	351.81	0	525
Contig114	16655	1924202	115.53	0	327
Contig115	16644	5314186	319.29	0	764
Contig116	16067	1433460	89.22	0	417
Contig117	15129	1643981	108.66	0	431
Contig118	14319	2580186	180.19	0	3097
Contig119	14225	184768	12.99	0	61
Contig120	13711	2351529	171.51	0	653
Contig121	13447	212392	15.79	0	66
Contig122	13333	64496	4.84	0	38
Contig123	13296	3935662	296.00	0	869
Contig124	12896	5959639	462.13	0	1909
Contig125	12301	2734144	222.27	0	776
Contig126	12285	3339398	271.83	0	660
Contig127	12038	425903	35.38	0	217
Contig128	11836	59750	5.05	0	27
Contig129	11606	1584327	136.51	0	296
Contig130	11535	191808	16.63	0	79
Contig131	11355	1865046	164.25	0	623
Contig132	11217	1719751	153.32	0	576
Contig133	10757	1471286	136.77	0	1579
Contig134	10675	27905	2.61	0	18
Contig135	10639	22057	2.07	0	10
Contig136	9770	91112	9.33	0	21
Contig137	9436	1914435	202.89	0	899
Contig138	9400	464471	49.41	0	654
Contig139	9286	1131338	121.83	0	335
Contig140	9145	1150885	125.85	0	528
Contig141	8182	58746	7.18	0	25
Contig142	8104	111825	13.80	0	27
Contig143	7930	1431099	180.47	0	701
Contig144	7885	2843956	360.68	0	2748
Contig145	7286	1575242	216.20	0	449
Contig146	7149	2910621	407.14	0	3614
Contig147	6653	1663070	249.97	0	766
Contig148	5710	983938	172.32	0	709
Contig149	5587	25813	4.62	0	17
Contig150	5543	16440	2.97	0	15
Contig151	5291	453125	85.64	0	268
Contig152	5228	851933	162.96	0	514
Contig153	5200	203524	39.14	0	381
Contig154	5183	814977	157.24	0	776
Contig155	5156	2472515	479.54	0	5984
Contig156	4991	16905	3.39	0	17
Contig157	4726	97952	20.73	0	70
Contig158	4615	715874	155.12	0	622
Contig159	4598	925060	201.19	0	922
Contig160	3926	31864	8.12	0	22
Contig161	3793	115865	30.55	0	67
Contig162	3720	932591	250.70	0	755
Contig163	3441	56032	16.28	0	46
Contig164	3436	318719	92.76	0	428
Contig165	3429	485520	141.59	0	379
Contig166	3379	1199278	354.92	2	1189
Contig167	2968	500425	168.61	0	879
Contig168	2905	71810	24.72	0	71
Contig169	2859	14013	4.90	0	56
Contig170	2770	1377171	497.17	1	1670
Contig171	2732	385748	141.20	0	343
Contig172	2372	2946	1.24	0	16
Contig173	2356	59001	25.04	0	55
Contig174	2202	42187	19.16	0	88
Contig175	1776	290653	163.66	0	526
Contig176	1642	19454	11.85	0	22
Contig177	1575	32	0.02	0	1
Contig178	1111	19734	17.76	0	29
Contig179	1030	166216	161.37	0	407
Contig181	1000	15569	15.57	1	26
total	1716026953	18353117762	10.70	0	12204
