chrom	length	bases	mean	min	max
Contig56	40328	298129	7.39	0	71
Contig57	39615	103425	2.61	0	51
Contig58	39487	301343	7.63	0	142
Contig59	39137	18008	0.46	0	11
Contig60	38884	131697	3.39	0	28
Contig61	37723	174358	4.62	0	68
Contig62	37648	319140	8.48	0	82
Contig63	37400	3495207	93.45	0	498
Contig64	37388	197203	5.27	0	209
Contig65	37121	213710	5.76	0	39
Contig66	36478	601028	16.48	0	172
Contig67	36157	96462	2.67	0	39
Contig68	35214	8775025	249.19	0	2283
Contig69	35099	1364650	38.88	0	140
Contig70	34465	134480	3.90	0	146
Contig71	33919	109565	3.23	0	78
Contig72	33800	902179	26.69	0	148
Contig73	33724	80338	2.38	0	20
Contig74	32706	214638	6.56	0	117
Contig75	31823	41895	1.32	0	62
Contig76	31655	12301	0.39	0	7
Contig77	31276	103141	3.30	0	66
Contig78	31158	764278	24.53	0	89
Contig79	30674	387466	12.63	0	87
Contig80	29757	1154667	38.80	0	132
Contig81	29483	6548649	222.12	0	2280
Contig82	29460	153254	5.20	0	54
Contig83	29339	83954	2.86	0	25
Contig84	28856	163244	5.66	0	134
Contig85	28693	201201	7.01	0	82
Contig86	28361	113926	4.02	0	28
Contig87	28171	137227	4.87	0	65
Contig88	28126	9154564	325.48	0	1523
Contig89	27995	128230	4.58	0	69
Contig90	27806	133889	4.82	0	34
Contig91	27729	34642	1.25	0	42
Contig92	27295	1045760	38.31	0	188
Contig93	26816	8938	0.33	0	7
Contig94	26673	19898274	746.01	0	10576
Contig95	26456	201999	7.64	0	37
Contig96	26378	6210745	235.45	0	2270
Contig97	24768	6233037	251.66	0	652
Contig98	24699	138979	5.63	0	45
Contig99	24591	164297	6.68	0	43
Contig100	22915	89402	3.90	0	21
Contig101	22863	10000159	437.39	0	1797
Contig102	22697	408687	18.01	0	172
Contig103	22371	1678946	75.05	0	728
Contig104	22046	433180	19.65	0	293
Contig105	21134	6762612	319.99	0	1330
Contig106	20804	5906505	283.91	0	1798
Contig107	19337	4936017	255.26	1	555
Contig108	18973	96310	5.08	0	56
Contig109	18357	468257	25.51	0	128
Contig110	17537	1223144	69.75	0	256
Contig111	17350	9185088	529.40	0	11800
Contig112	16706	5166667	309.27	0	2546
Contig113	16668	1649851	98.98	0	307
Contig114	16655	2620233	157.32	0	473
Contig115	16644	5580587	335.29	0	734
Contig116	16067	1594554	99.24	0	666
Contig117	15129	2178922	144.02	0	547
Contig118	14319	4427147	309.18	0	5131
Contig119	14225	134290	9.44	0	61
Contig120	13711	4633590	337.95	0	1087
Contig121	13447	155974	11.60	0	94
Contig122	13333	41745	3.13	0	37
Contig123	13296	3731618	280.66	1	754
Contig124	12896	5161301	400.22	0	1448
Contig125	12301	3439288	279.59	0	951
Contig126	12285	2845015	231.58	0	569
Contig127	12038	561520	46.65	0	218
Contig128	11836	64181	5.42	0	38
Contig129	11606	2432630	209.60	1	2113
Contig130	11535	376724	32.66	0	86
Contig131	11355	2084229	183.55	0	594
Contig132	11217	2228512	198.67	0	589
Contig133	10757	1441162	133.97	0	1163
Contig134	10675	36979	3.46	0	22
Contig135	10639	6914	0.65	0	7
Contig136	9770	5925	0.61	0	7
Contig137	9436	12016483	1273.47	0	10408
Contig138	9400	338430	36.00	0	518
Contig139	9286	1403450	151.14	0	406
Contig140	9145	1149654	125.71	0	534
Contig141	8182	29391	3.59	0	30
Contig142	8104	140775	17.37	0	34
Contig143	7930	1646533	207.63	0	629
Contig144	7885	3330639	422.40	0	3867
Contig145	7286	2017411	276.89	0	513
Contig146	7149	3664543	512.60	0	4908
Contig147	6653	1449008	217.80	0	672
Contig148	5710	1866374	326.86	0	1447
Contig149	5587	14999	2.68	0	22
Contig150	5543	13885	2.50	0	17
Contig151	5291	514439	97.23	0	359
Contig152	5228	921440	176.25	0	484
Contig153	5200	159056	30.59	0	285
Contig154	5183	1444699	278.74	0	1218
Contig155	5156	9185316	1781.48	0	17913
Contig156	4991	14574	2.92	0	17
Contig157	4726	172741	36.55	0	126
Contig158	4615	1108580	240.21	0	975
Contig159	4598	437505	95.15	0	469
Contig160	3926	52586	13.39	0	36
Contig161	3793	59130	15.59	0	42
Contig162	3720	1016696	273.31	1	767
Contig163	3441	76910	22.35	0	76
Contig164	3436	413338	120.30	0	649
Contig165	3429	581212	169.50	0	382
Contig166	3379	1058023	313.12	0	911
Contig167	2968	676781	228.03	0	1114
Contig168	2905	100182	34.49	0	92
Contig169	2859	12468	4.36	0	34
Contig170	2770	1464642	528.75	1	1750
Contig171	2732	422828	154.77	0	356
Contig172	2372	1849	0.78	0	5
Contig173	2356	72334	30.70	0	86
Contig174	2202	73194	33.24	0	119
Contig175	1776	337202	189.87	0	601
Contig176	1642	26312	16.02	0	28
Contig178	1111	21739	19.57	0	41
Contig179	1030	139971	135.89	0	333
Contig181	1000	64453	64.45	1	126
total	1716025378	16016847077	9.33	0	17913
