chrom	length	bases	mean	min	max
Contig128	11836	70610	5.97	0	35
Contig129	11606	1772611	152.73	1	375
Contig130	11535	266472	23.10	0	61
Contig131	11355	2381936	209.77	0	740
Contig132	11217	2310379	205.97	0	665
Contig133	10757	1708778	158.85	0	1270
Contig134	10675	19789	1.85	0	12
Contig135	10639	9085	0.85	0	8
Contig136	9770	30356	3.11	0	18
Contig137	9436	3261178	345.61	0	1806
Contig138	9400	129539	13.78	0	223
Contig139	9286	1291579	139.09	0	563
Contig140	9145	3142159	343.59	0	2838
Contig141	8182	27284	3.33	0	14
Contig142	8104	46442	5.73	0	17
Contig143	7930	1937809	244.36	0	755
Contig144	7885	3646216	462.42	0	3673
Contig145	7286	1945518	267.02	0	581
Contig146	7149	5532738	773.92	1	6358
Contig147	6653	2291536	344.44	0	956
Contig148	5710	3003613	526.03	1	2530
Contig149	5587	103585	18.54	0	58
Contig150	5543	6548	1.18	0	7
Contig151	5291	677734	128.09	0	443
Contig152	5228	1121603	214.54	0	558
Contig153	5200	46155	8.88	0	109
Contig154	5183	1964723	379.07	1	1197
Contig155	5156	4115009	798.10	0	9720
Contig156	4991	6106	1.22	0	8
Contig157	4726	155991	33.01	0	102
Contig158	4615	1023459	221.77	0	665
Contig159	4598	87614	19.05	0	106
Contig160	3926	245001	62.40	0	100
Contig161	3793	129414	34.12	0	84
Contig162	3720	1317960	354.29	0	1220
Contig163	3441	53151	15.45	0	53
Contig164	3436	485457	141.29	0	384
Contig165	3429	611136	178.23	0	458
Contig166	3379	1371469	405.88	0	1094
Contig167	2968	989914	333.53	0	1878
Contig168	2905	123735	42.59	0	97
Contig169	2859	12955	4.53	0	36
Contig170	2770	1977986	714.07	5	2586
Contig171	2732	615592	225.33	0	458
Contig172	2372	3787	1.60	0	21
Contig173	2356	61622	26.16	0	61
Contig174	2202	4652	2.11	0	8
Contig175	1776	360885	203.20	0	685
Contig176	1642	66535	40.52	0	71
Contig177	1575	33	0.02	0	1
Contig178	1111	18656	16.79	0	30
Contig179	1030	178410	173.21	0	436
Contig180	1009	293	0.29	0	1
Contig181	1000	70435	70.44	0	158
total	1716027962	16104745596	9.38	0	24994
