chrom	length	bases	mean	min	max
Contig40	55876	175860	3.15	0	93
Contig41	52538	413081	7.86	0	58
Contig42	52225	421220	8.07	0	67
Contig43	51935	861321	16.58	0	257
Contig44	51768	2074188	40.07	0	179
Contig45	51490	443007	8.60	0	68
Contig46	51380	1568431	30.53	0	170
Contig47	49726	123066	2.47	0	62
Contig48	47034	2931251	62.32	0	416
Contig49	46659	551277	11.82	0	48
Contig50	44853	329031	7.34	0	43
Contig51	44290	190307	4.30	0	32
Contig52	44013	397546	9.03	0	191
Contig53	42418	150275	3.54	0	31
Contig54	41552	1196273	28.79	0	127
Contig55	41080	145383	3.54	0	27
Contig56	40328	255157	6.33	0	52
Contig57	39615	153554	3.88	0	39
Contig58	39487	302753	7.67	0	75
Contig59	39137	12621	0.32	0	5
Contig60	38884	235955	6.07	0	81
Contig61	37723	105003	2.78	0	92
Contig62	37648	293622	7.80	0	55
Contig63	37400	3184273	85.14	0	403
Contig64	37388	228410	6.11	0	202
Contig65	37121	302182	8.14	0	66
Contig66	36478	527067	14.45	0	139
Contig67	36157	129762	3.59	0	31
Contig68	35214	2037191	57.85	0	395
Contig69	35099	619693	17.66	0	94
Contig70	34465	190557	5.53	0	226
Contig71	33919	131381	3.87	0	36
Contig72	33800	957013	28.31	0	148
Contig73	33724	151103	4.48	0	45
Contig74	32706	215211	6.58	0	83
Contig75	31823	5124	0.16	0	3
Contig76	31655	15041	0.48	0	7
Contig77	31276	128344	4.10	0	51
Contig78	31158	249343	8.00	0	50
Contig79	30674	367413	11.98	0	72
Contig80	29757	511949	17.20	0	73
Contig81	29483	1796859	60.95	0	416
Contig82	29460	121194	4.11	0	35
Contig83	29339	137004	4.67	0	33
Contig84	28856	185105	6.41	0	95
Contig85	28693	189469	6.60	0	65
Contig86	28361	122579	4.32	0	32
Contig87	28171	93996	3.34	0	90
Contig88	28126	10666520	379.24	0	2015
Contig89	27995	94259	3.37	0	103
Contig90	27806	254263	9.14	0	66
Contig91	27729	7967	0.29	0	4
Contig92	27295	873192	31.99	0	163
Contig93	26816	14159	0.53	0	6
Contig94	26673	4593491	172.22	0	2000
Contig95	26456	378735	14.32	0	62
Contig96	26378	1723482	65.34	0	415
Contig97	24768	1710773	69.07	0	429
Contig98	24699	235636	9.54	0	69
Contig99	24591	226869	9.23	0	61
Contig100	22915	43756	1.91	0	18
Contig101	22863	12612910	551.67	0	2399
Contig102	22697	377580	16.64	0	132
Contig103	22371	1817330	81.24	0	611
Contig104	22046	380934	17.28	0	222
Contig105	21134	6801202	321.81	0	1914
Contig106	20804	6605322	317.50	0	2310
Contig107	19337	5885091	304.34	0	750
Contig108	18973	80992	4.27	0	98
Contig109	18357	559739	30.49	0	112
Contig110	17537	1217105	69.40	0	286
Contig111	17350	13042406	751.72	0	21866
Contig112	16706	5937774	355.43	0	3073
Contig113	16668	2499366	149.95	0	332
Contig114	16655	2908082	174.61	0	532
Contig115	16644	7435408	446.73	0	1275
Contig116	16067	2010597	125.14	0	641
Contig117	15129	2594449	171.49	0	710
Contig118	14319	4619969	322.65	0	5488
Contig119	14225	92838	6.53	0	46
Contig120	13711	4655166	339.52	0	1219
Contig121	13447	110663	8.23	0	31
Contig122	13333	59347	4.45	0	35
Contig123	13296	4951280	372.39	0	1473
Contig124	12896	7881562	611.16	2	2292
Contig125	12301	3866103	314.29	0	1145
Contig126	12285	4107778	334.37	0	658
Contig127	12038	637662	52.97	0	380
Contig128	11836	46762	3.95	0	18
Contig129	11606	1826745	157.40	0	413
Contig130	11535	307978	26.70	0	89
Contig131	11355	1861967	163.98	0	541
Contig132	11217	1658796	147.88	0	533
Contig133	10757	2583136	240.14	0	2716
Contig134	10675	19591	1.84	0	14
Contig135	10639	10551	0.99	0	6
Contig136	9770	2369	0.24	0	3
Contig137	9436	2555318	270.81	0	1844
Contig138	9400	320234	34.07	0	474
Contig139	9286	1260996	135.80	0	503
Contig140	9145	1626320	177.84	0	709
Contig141	8182	35161	4.30	0	24
Contig142	8104	106763	13.17	0	36
Contig143	7930	1488878	187.75	0	597
Contig144	7885	4432318	562.12	0	4748
Contig145	7286	2474214	339.58	1	764
Contig146	7149	4427098	619.26	0	5250
Contig147	6653	2135242	320.94	0	1227
Contig148	5710	2104662	368.59	0	1707
Contig149	5587	1443	0.26	0	7
Contig150	5543	9887	1.78	0	13
Contig151	5291	654850	123.77	0	472
Contig152	5228	802326	153.47	0	456
Contig153	5200	135810	26.12	0	317
Contig154	5183	1629689	314.43	1	1283
Contig155	5156	1738286	337.14	0	3488
Contig156	4991	15103	3.03	0	24
Contig157	4726	213178	45.11	0	134
Contig158	4615	1162789	251.96	0	961
Contig159	4598	528395	114.92	0	594
Contig160	3926	65384	16.65	0	36
Contig161	3793	67897	17.90	0	51
Contig162	3720	1308506	351.75	0	1252
Contig163	3441	60714	17.64	0	61
Contig164	3436	513742	149.52	0	653
Contig165	3429	801145	233.64	0	694
Contig166	3379	1218950	360.74	0	1066
Contig167	2968	793936	267.50	0	1503
Contig168	2905	190038	65.42	0	219
Contig169	2859	11354	3.97	0	33
Contig170	2770	2140632	772.79	3	3157
Contig171	2732	535288	195.93	0	381
Contig172	2372	1036	0.44	0	10
Contig173	2356	51202	21.73	0	46
Contig174	2202	27626	12.55	0	46
Contig175	1776	318756	179.48	0	497
Contig176	1642	27189	16.56	0	32
Contig178	1111	14965	13.47	0	30
Contig179	1030	174059	168.99	0	400
Contig181	1000	23759	23.76	0	53
total	1716025378	13379282596	7.80	0	22392
