chrom	length	bases	mean	min	max
Contig74	32706	399713	12.22	0	207
Contig75	31823	68403	2.15	0	17
Contig76	31655	812693	25.67	0	237
Contig77	31276	205832	6.58	0	87
Contig78	31158	364775	11.71	0	61
Contig79	30674	55900	1.82	0	57
Contig80	29757	1359171	45.68	0	342
Contig81	29483	1713272	58.11	0	525
Contig82	29460	143428	4.87	0	65
Contig83	29339	289541	9.87	0	45
Contig84	28856	369131	12.79	0	213
Contig85	28693	219430	7.65	0	59
Contig86	28361	122026	4.30	0	24
Contig87	28171	88415	3.14	0	70
Contig88	28126	9983455	354.95	0	2062
Contig89	27995	95407	3.41	0	73
Contig90	27806	216900	7.80	0	49
Contig91	27729	58766	2.12	0	18
Contig92	27295	1227850	44.98	0	175
Contig93	26816	697833	26.02	0	268
Contig94	26673	7714382	289.22	0	2395
Contig95	26456	286223	10.82	0	119
Contig96	26378	1694517	64.24	0	531
Contig97	24768	1407325	56.82	0	339
Contig98	24699	229868	9.31	0	74
Contig99	24591	161042	6.55	0	43
Contig100	22915	39892	1.74	0	13
Contig101	22863	12868658	562.86	0	2045
Contig102	22697	39375	1.73	0	48
Contig103	22371	2181260	97.50	0	1009
Contig104	22046	455404	20.66	0	171
Contig105	21134	6827104	323.04	1	1634
Contig106	20804	6467611	310.88	0	1758
Contig107	19337	6761138	349.65	1	782
Contig108	18973	64477	3.40	0	66
Contig109	18357	256836	13.99	0	57
Contig110	17537	1481371	84.47	0	261
Contig111	17350	16222936	935.04	0	21957
Contig112	16706	6776728	405.65	0	2991
Contig113	16668	2340817	140.44	1	359
Contig114	16655	3421189	205.42	0	640
Contig115	16644	9673300	581.19	0	1420
Contig116	16067	1929350	120.08	0	846
Contig117	15129	2779506	183.72	0	873
Contig118	14319	5200497	363.19	1	5944
Contig119	14225	167926	11.80	0	72
Contig120	13711	4727699	344.81	0	1959
Contig121	13447	177167	13.18	0	118
Contig122	13333	44970	3.37	0	31
Contig123	13296	6747298	507.47	0	1521
Contig124	12896	10150117	787.07	1	2838
Contig125	12301	4959326	403.16	0	1427
Contig126	12285	4014203	326.76	0	897
Contig127	12038	899408	74.71	0	434
Contig128	11836	56746	4.79	0	25
Contig129	11606	3041711	262.08	0	1935
Contig130	11535	535172	46.40	0	121
Contig131	11355	2822772	248.59	0	854
Contig132	11217	2600070	231.80	0	845
Contig133	10757	2089162	194.21	0	1847
Contig134	10675	18237	1.71	0	13
Contig135	10639	3866	0.36	0	2
Contig136	9770	13508	1.38	0	10
Contig137	9436	4804652	509.18	0	2379
Contig138	9400	1388444	147.71	0	374
Contig139	9286	1936678	208.56	0	601
Contig140	9145	2325165	254.26	0	994
Contig141	8182	41376	5.06	0	32
Contig142	8104	88916	10.97	0	28
Contig143	7930	2256456	284.55	1	970
Contig144	7885	5422870	687.75	0	5777
Contig145	7286	2793767	383.44	0	784
Contig146	7149	4480844	626.78	0	6533
Contig147	6653	2736025	411.25	0	1380
Contig148	5710	2286334	400.41	0	1597
Contig149	5587	124131	22.22	0	114
Contig150	5543	15526	2.80	0	16
Contig151	5291	674970	127.57	0	513
Contig152	5228	1221713	233.69	0	674
Contig153	5200	805622	154.93	0	335
Contig154	5183	1914179	369.32	2	1796
Contig155	5156	3360928	651.85	0	5659
Contig156	4991	8352	1.67	0	20
Contig157	4726	298715	63.21	0	228
Contig158	4615	1723397	373.43	0	1444
Contig159	4598	19225	4.18	0	20
Contig160	3926	295738	75.33	0	273
Contig161	3793	93100	24.55	0	49
Contig162	3720	1777079	477.71	0	1308
Contig163	3441	121851	35.41	0	81
Contig164	3436	531467	154.68	0	622
Contig165	3429	820344	239.24	0	480
Contig166	3379	1799654	532.60	1	1617
Contig167	2968	905259	305.01	0	1594
Contig168	2905	296006	101.90	2	322
Contig169	2859	15009	5.25	0	47
Contig170	2770	2699402	974.51	3	3542
Contig171	2732	591251	216.42	0	467
Contig172	2372	5379	2.27	0	13
Contig173	2356	77579	32.93	0	82
Contig174	2202	38436	17.46	0	61
Contig175	1776	591460	333.03	0	885
Contig176	1642	155749	94.85	0	143
Contig178	1111	21480	19.33	0	34
Contig179	1030	192134	186.54	0	490
Contig180	1009	113	0.11	0	1
Contig181	1000	46061	46.06	0	70
total	1716026387	16819272850	9.80	0	21957
